short_descriptions,assignment_groups
CIP password is not working,SD_UC_CoCare_NSN_GL
Zoom issues on laptop,Service Desk - Non Sales
Re CREDO Support Request for check of Functional Approver workflow,Service Desk - Non Sales
MS Surface frozen,Service Desk - Non Sales
research report N81716,Service Desk - Non Sales
RE Priority 4 INC0340642 has been assigned to you,Service Desk - Non Sales
unable to login in into veeva ,Service Desk - Sales All
Jabber  Connection to Phone Service failed,SD_1stL_SD-UC_NSN_ENG_PH
Some of NE is not responding for custmer vodacom Tanzania via RAS,SD_1stL_SD-UC_NSN_ENG_PH
ASPSDCS020LDOM02FileSystemzonesaspsdcz002rootSUNWnativesbin OverUtilized Guest LDOM,GBL-WTI-AHS UNIX L1
FW Not able to access ELearning,Service Desk - Non Sales
Push supplier 5617649 to Ariba ,I-Buy Process Support
Ro  SAP access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Not able to login,Service Desk - Non Sales
Push supplier 838047 to Ariba ,I-Buy Process Support
ENHAutomatic Reminders  OSS message 219263  2019,PZC-FJ-ServiceDesk
unable to access sharepoint outside Citrix,Service Desk - Non Sales
Nathalie DALEY Leaving NOKIA  Change of approver names in procurement tools,I-Buy Process Support
RE Document Management Services DMS DL,Service Desk - GAM
2 workflows hang in BT 5G UK NDPd,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20191015134718817,GBL-WTI-AHS UNIX L1
IN  Request for Send As permission  Ref RITM2440258,SD_1stL_SD-UC_NSN_ENG_PH
BPC Q13 Password reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
treatNOW Eligibility Debbi SpitlerHCP is in need of samples ,Service Desk - Sales All
Project Online Professional failed to download and install,SD_1stL_SD-UC_NSN_ENG_PH
Assign Visio license to Dimitris Manolis,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Office 365  Outlook MS office application doesnt work,SD_1stL_SD-UC_NSN_ENG_PH
Push supplier 872707 to Ariba ,I-Buy Process Support
RO  SAP roles needed,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
user BY059455 has been blocked,G SNOW RU SERVICE DESK
PL  Moving One Drive content,G SNOW EXT ATOS IS MAILING ADMINS
FR  VPN issues tool like jenkins and jira hang after connected to VPN,SD_1stL_SD-UC_NSN_ENG_PH
FW Overdue Training in Otsuka eLearn  Jessica Kerns,Service Desk - Non Sales
QC issue error in updating views,SD_UC_CoCare_NSN_GL
Advance search page for alerts  all drop downs are blank,SD_1stL_SD-UC_NSN_ENG_PH
Im trying to connect to a particular address that I should have access to ,Service Desk - Non Sales
Please provide access to the CTI,G SNOW RU SERVICE DESK
URGENT P02 PW unlock and password reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Outlook on Citrix Common Desktop is slow,Service Desk - Non Sales
Webex  others cant login no password,SD_1stL_SD-UC_NSN_ENG_PH
receiving error message for java update ,Service Desk - Non Sales
 JiraObsoleteCAOriginal Estimate0FeatureOriginal Estimateeffort,SD_UC_CoCare_NSN_GL
Jabber Jabber  Login  Unable to log into Jabber Client,SD_1stL_SD-UC_NSN_ENG_PH
HVD  Word Excel Outlook dont work anymore,SD_1stL_SD-UC_NSN_ENG_PH
myOrder help needed on lost draft order,SD_UC_CoCare_NSN_GL
RP NSAUNIX Request20191205163953308,GBL-WTI-AHS UNIX L1
IE does still try to display 7z file content instead of downloadsave,SD_1stL_SD-UC_NSN_ENG_PH
GR  Unlock User,G SNOW GR SERVICE DESK
Unable to install Project Online Professional 2016 32 bit in Software Center,SD_1stL_SD-UC_NSN_ENG_PH
BPC access of user BS001689,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
AMRDRM465  SHOWING AMBER LIGHT,GBL-WTI-AHS UNIX L1
Enable online archive for user Hrvoje Stakor HR100260,G SNOW EXT ATOS IS MAILING ADMINS
 5G System5GRANSpecifications5G User Plane module in Doors not accessible,SD_UC_CoCare_NSN_GL
FR  PC Termination  Unable to file a request,SD_1stL_SD-UC_NSN_ENG_PH
Remove Unix access for AHNC01,GBL-WTI-AHS UNIX L1
Please help us release the PO  5010793970 form change version and keep the current changes on it,SD_UC_CoCare_NSN_GL
New iPad not received yet,Service Desk - Non Sales
User cannot get ingenius to sync,Service Desk - Non Sales
Battery failure on AMRNDHL942,GBL-WTI-AHS UNIX L1
User cant send email to Pharmacist,Service Desk - Non Sales
Hacking mail report,SD_1stL_SD-UC_NSN_ENG_PH
How to print from iPad Pro to Dell 1355cnw printer,Service Desk - Non Sales
POLG04CSSmyERM Customer requested to rerun the process since saturday files not created,SD_1stL_SD-UC_NSN_ENG_PH
Duplicate User in CARES Workgroup,SD_1stL_SD-UC_NSN_ENG_PH
OM PROFILESPARAMETERSQUERY GROUPS  for RF128641 Polina Naumenko,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Slow Virtual PC,SD_1stL_SD-UC_NSN_ENG_PH
My bluetooth driver crashed and deleted from my computer  That runs my headset  Can you please help me reload a new driver,Service Desk - Non Sales
PNUN11112NOKIA  System Device is sending events in wrong log format,SD_1stL_SD-UC_NSN_ENG_PH
Coverity server escovsub1emeansnnetnet is not working for 5gl1lfji user in l1sw CI,SD_1stL_SD-UC_NSN_ENG_PH
Material not arriving from BPP to GPMA,SD_UC_CoCare_NSN_GL
Access to transactiona FBRA,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IE  Access to BPC,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Wrong Currency on Purchase Order,PZC-FJ-ServiceDesk
Unable to sign in into Skype and citrix,Deskside Carnegie
Skype Headset Replacement,Deskside Carnegie
WARP Japan  no servers are accessible thorugh WinscpPutty,GBL-WTI-AHS UNIX L1
RP NSAUNIX Request20191010050252775,GBL-WTI-AHS UNIX L1
New account credential request,Service Desk - Non Sales
SAP access for Fractal users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Assign Roles,G SNOW GR SERVICE DESK
cant see team members in schedules Salesforce ,Service Desk - Sales All
Unable to access PUMA,SD_UC_CoCare_NSN_GL
PDMalcatel support ECO0000096503,SD_UC_CoCare_NSN_GL
GR  ZYMC tcode access ,G SNOW GR SERVICE DESK
Please provide access to users email box potential finance security issue,G SNOW RU SERVICE DESK
user is requesting an eLearn pin reset,Service Desk - Non Sales
CCR Monitoring  PTLB STO not flown to ECC  for NGT1,PZC-FJ-ServiceDesk
FW Adobe Acrobat Pro DC,Service Desk - Non Sales
Blacklist email address,G SNOW EXT ATOS IS MAILING ADMINS
The approver cant see DP1727023 in wor,PZC-FJ-ServiceDesk
adobe acrobat pro dc issue,Service Desk - Non Sales
gdw003aapacpfizercom MultipleDeviceDown Intel,GBL-WTI-AHS WINTEL L1
INCdont see VIM invocice in SAP inbox,PZC-FJ-ServiceDesk
FW E learn questions,Service Desk - Non Sales
Catalog is empty,I-Buy Process Support
aspthaw020apacpfizercom Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
Jabber Other   not able to sendreceieve image file thru Jabber also sometime call option is not available,SD_1stL_SD-UC_NSN_ENG_PH
ADP  user cannot log into ADP,Service Desk - Non Sales
DP issueFailures for AMER5b  BS amrsoml139 GP 0000Start CT gywpcasc01,GBL-WTI-AHS WINTEL L1
transfer from iPad to ,Service Desk - Non Sales
Request Delete PR in APO,PZC-FJ-ServiceDesk
Assign role for BRF,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to sign into Skype in Phone,Deskside Carnegie
Error Duplicate CHRO Number found IDCAPEX200137,SD_UC_CoCare_NSN_GL
Collaborator  SAP P24  connection parameter is missing password error,SD_UC_CoCare_NSN_GL
379372 atlassupport GRN copies not delivered to Subcon Javi,SD_1stL_SD-UC_NSN_ENG_PH
no eAlerts  for CARES tickets,SD_1stL_SD-UC_NSN_ENG_PH
Unable to login via SSH and web UI,SD_1stL_SD-UC_NSN_ENG_PH
Closed on 24122018ASIA SAP ApplicationsAUC 1718 not Acquisitioned  Depreciated   9000009055    A19311281  OSS 529446  AND 629931   ,PZC-FJ-ServiceDesk
Usermarkwindrimsasktelcom facing issue in Case Handling Help Desk,SD_1stL_SD-UC_NSN_ENG_PH
MY  Unable to raise request as mailbox not listed under user in IT Portal,SD_1stL_SD-UC_NSN_ENG_PH
Zahid Ismail  62255335 needs to be added in IT Service Portal,SD_1stL_SD-UC_NSN_ENG_PH
cannot open any items from Mystic or OneDrive,Service Desk - Non Sales
Issue finishing an elearn,Service Desk - Non Sales
GR  User creation for Frigoglass,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
In Info record  Tax code  is not maintained for vendor PLID20V in GH20,PZC-FJ-ServiceDesk
Remove Unix access for KUMAN156,GBL-WTI-AHS UNIX L1
Patching Issue PARTIALLY Win2008R2 617601 Result for INTNIKWAP0005,GBL-WTI-AHS WINTEL L1
URGENT please create the attached AD Groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Grand access to OPEX DP switzerland for User CH012968,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Mobile  Unable to make and receive calls ,SD_1stL_SD-UC_NSN_ENG_PH
amrndhs263pfizercomNetwork Bandwidth Utilization Percentage amrndhs263net3 has reached 9902851opscenter PFEOEMOpsCenterAlert Solaris Zone,GBL-WTI-AHS UNIX L1
Adding a new tab in Excel on new iPads  does not work,Service Desk - Non Sales
oulng203  Host key verification failed,SD_1stL_SD-UC_NSN_ENG_PH
amrdrms035ldom04pfizercomLogMonitorUnixLinux Networking Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixNetworkingErrors Guest LDOM,GBL-WTI-AHS UNIX L1
PL  DHCP Reservation,G SNOW PL SERVICE DESK
Zscaler assistance needed,Service Desk - Non Sales
GR  Access to ERP,G SNOW GR SERVICE DESK
Unable to open Citrix in IE,Deskside Carnegie
Problem with patching CI asphzhl001  Failed for unknown reason  Investigation required,GBL-WTI-AHS UNIX L1
RP NSAUNIX Request20191106023105466,GBL-WTI-AHS UNIX L1
Please block   elenasinkadigitalibmcom as its related to  INC0903779,G SNOW RU SERVICE DESK
SSO Error  artursviderkanokiacom,SD_1stL_SD-UC_NSN_ENG_PH
SNMPAgentallianceprod01hospiracorp NotResponding Solaris Zone,GBL-WTI-AHS UNIX L1
FIKH PO details not visible in P20,I-Buy Process Support
Can you please push Oracle Database Client on my machine ,Service Desk - Non Sales
RF122446  Remove Reconcile role,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DSWINTP01  Reboot immediately,GBL-WTI-AHS WINTEL L1
No access to shared drive due to server issue  Brussels,GBL-WTI-AHS WINTEL L1
the user couldnt download artifacts from artifactoryhttpsartifactorybj1intnetnokiacom,SD_1stL_SD-UC_NSN_ENG_PH
PL  User access HS3,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW CASE ID20200618000013 for new account request has been registered with Nokia Support portal,SD_UC_CoCare_NSN_GL
cannot find create VNC server session in IT service portal,SD_1stL_SD-UC_NSN_ENG_PH
CZ013517  Query groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Assign HEAD Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
iPad passcode help,Service Desk - Non Sales
Check the servers APWLDACXP01  APWLDACXP02 status Showing  Server offline in Citrix Reporting page,GBL-WTI-AHS WINTEL L1
Laptop is running slow,Deskside Carnegie
Access to PLANON  CC 0754,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SNMPAgentaumulctx07pfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
DP ISSUE Backup failure for PUUEMASECVA,GBL-WTI-AHS WINTEL L1
BE  Jabber  Phone Service Issue,SD_1stL_SD-UC_NSN_ENG_PH
MS Teams how to,Deskside Carnegie
PL  Sales oreder ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cant log in to Veeva,Service Desk - Non Sales
Please check configuration of cluster SOMAMRCLS13AB,GBL-WTI-AHS WINTEL L1
Setup Dell Docking station ,Deskside Carnegie
No Internet  connection when accessing Nokia Pages,SD_1stL_SD-UC_NSN_ENG_PH
Missing Authority in BWP 100,PZC-FJ-ServiceDesk
User rsiekmeyerblacknedde  getting error while mapping in Sales Force,SD_1stL_SD-UC_NSN_ENG_PH
5618320 –EGEBANT ZIMPARA not found in IBuy,I-Buy Process Support
WIFI is not connecting in phone,Deskside Carnegie
HVD  Unable to Login ,SD_1stL_SD-UC_NSN_ENG_PH
Access to TM003 report from BW Cluster 1 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Subcontracting settings for FU WAX skus,PZC-FJ-ServiceDesk
Mind Manager 2020 Installation on replacement Laptop,Deskside Carnegie
Unable to login to eLearn ,Service Desk - Non Sales
laptop not turning on ,Deskside Carnegie
Opp 12787 Recharge management issue,SD_1stL_SD-UC_NSN_ENG_PH
INCNew version OEEBI report,PZC-FJ-ServiceDesk
AUMULCTX10  Failed HD  Amber Light,GBL-WTI-AHS WINTEL L1
HCP can not be sampled,Service Desk - Sales All
Otsuka app automatically signs out on phone,Service Desk - Non Sales
Email HCP not available,Service Desk - Sales All
HCP has no products,Service Desk - Sales All
Hardware Integrated Laptop Keyboard is notworking or some keys are not working,SD_1stL_SD-UC_NSN_ENG_PH
Add HQ001313 to Active Directory Groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW SAP issues  ZERO Weight 200102201 ICE BLAST,PZC-FJ-ServiceDesk
Unable to access a page in Support Portal,SD_1stL_SD-UC_NSN_ENG_PH
PL  Assign E3 ,G SNOW PL SERVICE DESK
S drive down,Service Desk - Non Sales
Excessive HCPs in territory,Service Desk - Sales All
SAP access for user BS001211,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Не получается войти в почту Требуется сбросить 2FA,G SNOW RU SERVICE DESK
VEGAMRCLS01B Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
PL  Users access restore,G SNOW PL SERVICE DESK
Personal Certificate Issue on Skype for Business ,Service Desk - Non Sales
Unable to log into Grow,Service Desk - Non Sales
PL  Access to PLLogistic,G SNOW PL SERVICE DESK
Issue with adobe  attempting to fix ,Service Desk - Non Sales
please make sure full backup of the server prior rfc 1396759,GBL-WTI-AHS WINTEL L1
Support Portal iciotircacontractorlibertyglobalcom account mapping,SD_1stL_SD-UC_NSN_ENG_PH
Question regarding one drive ,Service Desk - Non Sales
Question regarding holiday hours in Time off territory ,Service Desk - Sales All
MFA Install and Configure the Authenticator,SD_1stL_SD-UC_NSN_ENG_PH
user forgot temp password for new computer ,Service Desk - Non Sales
Pwd  reset,Service Desk - Non Sales
SOFTWARE FMO Win10 Trust Relationship error,SD_1stL_SD-UC_NSN_ENG_PH
IR202070878599 Supplier SENSATEC GMBH,I-Buy Process Support
Instance ID 7dbd4cb992b34ba794334c97d6061ab5 in DHN40 not accessible,SD_1stL_SD-UC_NSN_ENG_PH
Reminder 3 PD New APO incident for Greece,PZC-FJ-ServiceDesk
kzoamrcls02aamerpfizercom cpqClusterResource Intel,GBL-WTI-AHS WINTEL L1
Not Connecting to Docking station,SD_1stL_SD-UC_NSN_ENG_PH
amrsoml373pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
Javelin password issue,Service Desk - Non Sales
RE INC0342255  Issue with Skype,Service Desk - Non Sales
RS  Adding YU003759 to AD groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BG  Grant access to mailbox ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
User account is blocked,Service Desk - GAM
GR  ERP  SSF Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SI  Add SAP roles to the user,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
HCP Dr Ravindra Chand still showing in SAN diego territory,Service Desk - Sales All
Unable to access shared drive,SD_UC_CoCare_NSN_GL
Download of SWST NOLS files,SD_1stL_SD-UC_NSN_ENG_PH
IT AD password reset,G SNOW IT SERVICE DESK
Otsuka Email Blocked,Service Desk - Non Sales
ENHApprovers SAP inbox,PZC-FJ-ServiceDesk
User could no longer see SAP Logon Pad inside WAH,SD_UC_CoCare_NSN_GL
Contractors Validity Extension,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cant sample HCP,Service Desk - Sales All
IT  Add G M365 Gold License Bundle to users,G SNOW IT SERVICE DESK
Certificates renewal   Third Party VPN Remote Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BPP to NBL Interface failure 10022020,SD_UC_CoCare_NSN_GL
Not able to access these web links,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access SSL VPN sites properly,SD_UC_CoCare_NSN_GL
WhiteheadCW Jovita 35272 sent you a message in Skype for Business while you were offline,Service Desk - Non Sales
Zscaler iOS App 161 2  Feedback,Service Desk - Non Sales
URGENT  OPDC Program Management Distribution list  ADDITION,Service Desk - GAM
Export tables from SAP MDM Data Manager,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FTP from our unix servers towards our partner Flextronics is failing,SD_1stL_SD-UC_NSN_ENG_PH
A VPC was created instead of a HVD which was the original request Yaroslav Kovalchyk,SD_1stL_SD-UC_NSN_ENG_PH
VPN  Remote Access The VPN service is not available ,SD_1stL_SD-UC_NSN_ENG_PH
SAP printing issue,SD_UC_CoCare_NSN_GL
Wrong approver name displayed as having approved ,I-Buy Process Support
SPM issue page not loading,SD_UC_CoCare_NSN_GL
Support Portal  User  keithFarnworthcorpxplornetcom  Unable to access product in support portal,SD_1stL_SD-UC_NSN_ENG_PH
GR  Issue with STOs from APO to R3,G SNOW GR SERVICE DESK
granting exceptional accesses and accesses from previous positions for users LT300399 and LT300434,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Firewall Rule change,Service Desk - Non Sales
User for OSS incident needed,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Gateway server AMRPOMW011 Down,GBL-WTI-AHS WINTEL L1
CCR Monitoring  Status as Z7 for product in GB11,PZC-FJ-ServiceDesk
RE Citrix connectivity issuedhiraj15392,Service Desk - Non Sales
Marcoussis server frmr9lnxc01emeansnnetnet    Intermittent access,SD_1stL_SD-UC_NSN_ENG_PH
Account disabled  AxelssonCW Malin 17366,Service Desk - Non Sales
cz  acess to transaction SQ00 as per KB0016659 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to access Project Online on ACE tool,SD_1stL_SD-UC_NSN_ENG_PH
User account locked out Bad password attempts,Deskside Carnegie
IE  White list Domain ,G SNOW EXT ATOS IS MAILING ADMINS
AppAdmin password reset request,Service Desk - GAM
Filter problem in Referential  Approved vendor list,SD_1stL_SD-UC_NSN_ENG_PH
In Continuation of RITM0937920  Airwatch accounts have not been deleted,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL  3PL unlock user ,G SNOW PL SERVICE DESK
O365 Incident Microsoft Teams Camera option button is greyed out,SD_1stL_SD-UC_NSN_ENG_PH
Outlook 2016 profile is missing required exchange information,Deskside Carnegie
 Alliance tool is not loading,SD_UC_CoCare_NSN_GL
otsuka home page from ipad ,Service Desk - Non Sales
Cant connect to hotspot,Service Desk - Non Sales
GR  AddRemove AD Groups,G SNOW GR SERVICE DESK
There is no record of the job title in AD and Office 365,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
voice message turned on ,Service Desk - Non Sales
emazasw005emeapfizercom Down VM Guest,GBL-WTI-AHS WINTEL L1
LOCKED OUT FROM BPS ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
locked out cant login to see call plan ,Service Desk - Non Sales
RP NSAUNIX Request20191205104020642,GBL-WTI-AHS UNIX L1
Access to transactions,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
pass change after expiration,Service Desk - Non Sales
SWIP service not available,SD_1stL_SD-UC_NSN_ENG_PH
E5 license issue,Deskside Carnegie
Please copy today Data to Target  COBRA cubes,G SNOW RU SERVICE DESK
Verification phone number needs to change,Service Desk - Non Sales
Access to transactions for juice contracts in SAP,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Sync SAPIM to workflow tool,SD_1stL_SD-UC_NSN_ENG_PH
pbrun environment under account mqm showing different values for nofile,GBL-WTI-AHS UNIX L1
Unable to Post Invoice  SG1  9050533,SD_UC_CoCare_NSN_GL
Change P13 password,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
cz    Access to COCKPIT1,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BPO2039 invoices in Paying failed,I-Buy Process Support
additional roles for new position  Ivor Novosel,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrsoml343pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
FIHE3NOK1376  the host was down for about 10 mins  Investigation required,SD_1stL_SD-UC_NSN_ENG_PH
Issue with firefox,SD_1stL_SD-UC_NSN_ENG_PH
DP Issue  Failure for AMRSOMW453,GBL-WTI-AHS WINTEL L1
Salesforce CRM sCRM ,SD_UC_CoCare_NSN_GL
outlook need to connect to exchange server,Service Desk - Non Sales
SAP P20 Printer Issue,SD_UC_CoCare_NSN_GL
accesses and roles for new colleague  Andreea Naciu,I-Buy Process Support
RP NSAUNIX Request20191226022921328,GBL-WTI-AHS UNIX L1
aspsdcl058pfizercomLogMonitorSCSI Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixSCSIErrors Linux,GBL-WTI-AHS UNIX L1
Please reset MFA for users account YuryGrigorievcchelleniccom,G SNOW RU SERVICE DESK
CCR Monitoring  SO not in IMNGA1,PZC-FJ-ServiceDesk
Jabber Other  unable to makereceive calls ,SD_1stL_SD-UC_NSN_ENG_PH
RO  email transfer,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RP NSAUNIX Request20191017025549361,GBL-WTI-AHS UNIX L1
Storage is full error,SD_1stL_SD-UC_NSN_ENG_PH
GR  ELXYM R3 Password Unlock  Reset,G SNOW GR SERVICE DESK
Access to Internal Job Market,SD_1stL_SD-UC_NSN_ENG_PH
edcemabsn10pfizercomLogMonitorFlashArchive Failure Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveErrors Unix,GBL-WTI-AHS UNIX L1
Pull in horizon is maintained 0 daysNZ20,PZC-FJ-ServiceDesk
Userotienostanfordasiyoftrcom Getting error  SSO 41 – User login issue,SD_1stL_SD-UC_NSN_ENG_PH
Windows Application Hosting Citrix Receiver Error Unable to launch applications from Citrix,SD_UC_CoCare_NSN_GL
EMEA  PRODUCTION  EUROPE 1 EMAEDCS060 Disk Space monitor is in critical status DiskFile Systemdf such,GBL-WTI-AHS UNIX L1
Please assign ad groupd on 0301,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Cant connect to WiFi,Service Desk - Non Sales
Request to enable the account from Manjith Singh,Deskside Carnegie
Issue with Alliance ,SD_UC_CoCare_NSN_GL
help editing excell workbook,Service Desk - Non Sales
BG  Creation of external user  picker,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Request to remove PC from Snow,SD_1stL_SD-UC_NSN_ENG_PH
Urgent Users Experiencing Slowness in Accessing  SASGrid User Clients Via Citrix ,Service Desk - Non Sales
Font size on computer,Service Desk - Non Sales
RP NSAUNIX Request20191204031143929,GBL-WTI-AHS UNIX L1
Teams not loading,Service Desk - Non Sales
RE Share point connectivity issue,Service Desk - Non Sales
Need Multipath Information  Wintel,GBL-WTI-AHS WINTEL L1
Wifi is not conneting and Unable to reset the password,Deskside Carnegie
Issue accessing hotspot on laptop,Service Desk - Non Sales
Please add me to APP83042 Masterdata Administration user list,SD_1stL_SD-UC_NSN_ENG_PH
Unable to get into Salesforce,Service Desk - Non Sales
Access to OM AdHoc,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assign role in P02 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL  Assign roles to user based on approved RITM0947066,G SNOW PL SERVICE DESK
Locked out of eLearn,Service Desk - Non Sales
TN  Support Portal  Login Issue,SD_1stL_SD-UC_NSN_ENG_PH
EE Cloud I can not connect to my eecloud  ,SD_UC_CoCare_NSN_GL
IT Assign user to BSR Tool,G SNOW IT SERVICE DESK
NCT case can not be assigned to the case owner,SD_UC_CoCare_NSN_GL
Cant delete item in WB001 RO template ,PZC-FJ-ServiceDesk
invoice approval errordefer not available force reject,I-Buy Process Support
RPAPRD6 Pasword P02P03,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Request to move computer IT002854B from Workstation Desktops Italy to Workstation Special Italy,G SNOW IT SERVICE DESK
IT  Reset password for Fiori in GWP400,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Password Reset  Replacement account,Service Desk - Non Sales
GR cannot be done by Central Receiver on POs 9000003916 9000003917,I-Buy Process Support
User did not receive the notifications,SD_UC_CoCare_NSN_GL
Sharepoint file restore,Service Desk - Non Sales
RP NSAUNIX Request20200128065822205,GBL-WTI-AHS UNIX L1
aspprtw005apacpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
Disable iPass at startup,Service Desk - Non Sales
Jabber Phone services   Unable to make phone call,SD_1stL_SD-UC_NSN_ENG_PH
GR  Office 365 license,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Engage Invites not sending,Service Desk - Sales All
VPN  Remote Access issue,SD_1stL_SD-UC_NSN_ENG_PH
Provide user RO912284 access in SPC,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP ISSUE Backup failure for ASPWUXW004,GBL-WTI-AHS WINTEL L1
IT  request for email address to be whitelisted,G SNOW IT SERVICE DESK
Log in issue,Service Desk - Non Sales
Users added via Ultima still not available in Pronto,SD_1stL_SD-UC_NSN_ENG_PH
Access to CRM,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
error in SRM when submitting Shc 1003211046,SD_UC_CoCare_NSN_GL
Problem with patching CI AMRSOML191  Investigation Required,GBL-WTI-AHS UNIX L1
FW Please reset my Otsuka password,Service Desk - Non Sales
Rebuild Ebsco Server,SD_1stL_SD-UC_NSN_ENG_PH
user needs assistance exporting and opening excel documents from orion,Service Desk - Non Sales
Sizzling sound at the background of all calls ,SD_1stL_SD-UC_NSN_ENG_PH
Software Centre not found,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20200120075019982,GBL-WTI-AHS UNIX L1
Office 365  Activation Issue exact description of the issue,SD_1stL_SD-UC_NSN_ENG_PH
DP issueBS emaedcl151 GP 2000start CT nblxmdbd1,GBL-WTI-AHS UNIX L1
Useradamplaskadigicospl – SS0 41 – Login Issue,SD_1stL_SD-UC_NSN_ENG_PH
T Drive Access to Apurva Shende,Service Desk - GAM
Timecard Approval malfunction,SD_1stL_SD-UC_NSN_ENG_PH
Firewall or proxy blocking videoo from wwwnokiacom,SD_1stL_SD-UC_NSN_ENG_PH
PL  VPN Issue,G SNOW PL SERVICE DESK
Cisco AnyConnect  Login failed ,SD_1stL_SD-UC_NSN_ENG_PH
Request to us delete the change version of the contract  4480043498,SD_UC_CoCare_NSN_GL
CY  VPN Certificate,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
The Canon Image Runner Advance C5560i on the first floor CSPV is not working,Deskside Carnegie
NDPe Slowness as 19Mar,SD_1stL_SD-UC_NSN_ENG_PH
Please create me 2 service accounts,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL SAP access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Application  PWC  Unable to access with correct credentials,SD_1stL_SD-UC_NSN_ENG_PH
SAP access for Megh Fractal,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to get into laptop after changing her password,Service Desk - Non Sales
Email removed from Concur,Service Desk - Non Sales
iPad Delivery question,Service Desk - Non Sales
Add room under management address,G SNOW EXT ATOS IS MAILING ADMINS
T Drive Access to Sovan Kanti Sen,Deskside Carnegie
